,BLKID,MAF_NAME,TLID_match
522,80319800001134,E 58th Ave,606066829
523,80310046024009,S Osceola St,177327077
524,80310017022002,15th St,177304418
526,80310046024002,W Arizona Ave,177327074
527,80310003034000,W 38th Ave,177300675
528,80310046012017,S Zenobia St,177326773
529,80310156002014,S Navajo St,177332722
530,80310046022012,S Federal Blvd,177328143
535,80310015003032,31st St,177303834
536,80310028011006,E 5th Ave,177331476
537,80310041013010,E Martin Luther King Blvd,640071621
538,80310068041014,S Yosemite St,640661794
539,80310040041022,S Ivanhoe St,177342003
540,80310030043024,S High St,177334229
541,80310044052021,E Fairmount Dr,177629130
543,80310017022014,Glenarm Pl,177304708
547,80310120141012,W Wagon Trail Dr,177318861
549,80310068042020,E Union Ave,606028427
550,80310015003070,E 45th Ave,177304819
551,80310016001005,Wynkoop St,177304938
552,80310048011009,S Zurich Ct,177328618
553,80310045051031,S Knox Ct,177327526
554,80310024022004,E 20th Ave,635533831
555,80310045043002,W Center Dr,177326205
561,80310030031006,S Humboldt St,177332563
563,80310046014013,W Mexico Ave,177327144
564,80310016002011,Delgany St,177630476
567,80310068092000,E Hampden Ave,612840752
569,80310154001025,W 48th Ave,177298248
570,80310030032000,E Buchtel Blvd,606058384
571,80310119023001,W Floyd Ave,612834257
575,80310045031000,S Perry St,177327020
577,80310018001011,W 11th Ave,177630959
578,80310120142017,S Garrison St,606004063
580,80310019012012,W 10th Ave,177304336
581,80310083893031,N Ensenada Ct,640656243
582,80310013015005,S Decatur St,177327816
583,80310046022010,S Julian Way,177328112
586,80310024032014,California St,177304557
587,80310014011012,S Mariposa St,177331048
590,80310048013005,S Sheridan Blvd,177328719
591,80310003032000,W Highland Park Pl,177300902
595,80310030012026,S Corona St,177332362
596,80310040023001,S Cook St,177340946
597,80310083893031,E 54th Pl,606075226
598,80310039011017,S Monroe Way,177338410
601,80310032012005,E 9th Ave,613248313
605,80310041071079,E 29th Pl,606070301
609,80310017011009,Chestnut Pl,646531935
610,80310024031005,Welton St,177305129
612,80310030031028,S Gilpin St,177332610
613,80310016002011,Delgany St,177630476
616,80310003013000,W 44th Ave,177300604
617,80310014032028,S Delaware St,177332933
618,80310018001011,W 11th Ave,177630959
620,80310009053001,W 8th Ave,177327367
622,80310068142001,E Girard Ave,611644631
623,80310041071090,N Syracuse Ct,606061144
625,80310014031000,S Acoma St,177331274
627,80310044054069,E Lowry Blvd,627214923
630,80310014011011,S Lipan St,177331064
631,80310004013015,W Denver Pl,177301035
632,80310068122007,S Poplar St,612840776
633,80310083893065,E 53rd Pl,617527083
635,80310016001012,Wazee St,177304940
636,80310035004011,E 45th Ave,177310279
639,80310047005014,S Wolcott Ct,177328725
640,80310051021005,S Glencoe St,177340127
641,80310120101004,S Wadsworth Blvd,623656789
644,80310070132002,S Quebec Way,177627825
646,80310045033004,W Walsh Pl,636169598
649,80310013023008,S Shoshone St,177330936
650,80310045051022,S Lowell Blvd,177327502
651,80310030031034,E Evans Ave,177334016
653,80310027031004,E 14th Ave,177305813
656,80310017021012,Curtis St,177304431
658,80310014012002,S Seneca Ct,177330981
659,80310044051029,S Syracuse St,177626706
663,80310068102003,S Willow Way,177344059
667,80310038004002,E 1st Ave,177338386
668,80310070372006,S Galena Way,606037796
669,80310046013008,S Stuart St,177327178
670,80310068122007,E Girard Ave,612233151
672,80310157002011,S Quitman St,177328935
673,80310030015015,S Logan St,177332283
674,80310068141006,S Akron Ct,177344262
678,80310009033009,S Meade St,177327443
681,80310052002007,S Monaco Street Pkwy,606058687
683,80310068101012,E Lehigh Ave,613248981
684,80310041071001,E 49th Pl,641514870
685,80310120101004,S Wadsworth Blvd,623656789
686,80310119022007,S Joslin Ct,177321939
