,Unnamed: 0,LATITUDE,LONGITUDE,MAF_NAME,BLKID
126590,92255,39.71719805,-104.98278,N Logan St,80310028022002
96068,230556,39.71408249,-104.99045743,W Maple Ave,80310021002010
49092,43267,39.7707834,-105.01846938,W 39th Ave,80310004013009
214595,252891,39.7465255,-104.98384668,N Grant St,80310026011003
67037,105830,39.76227863,-104.96808109999999,N Franklin St,80310036013019
68426,303784,39.73766303,-104.96079442,N Gaylord St,80310032021008
189808,267648,39.67045896,-104.99681355,S Santa Fe Dr,80310014032009
106100,7719,39.71288335,-105.04065209,S Quitman St,80310009022016
5921,65069,39.62919896,-104.89427625,E Union Ave,80310068042020
111561,176472,39.73628491,-104.94806716,N Adams St,80310037032008
257391,207895,39.67430683,-105.03019759,S Irving St,80310046034016
198508,23937,39.80140752,-104.76726529,N Biscay St,80319800001136
10155,258079,39.78460672,-104.88675293,N Xanthia St,80310041071011
209453,27682,39.79156026,-104.73495102,N Perth Ct,80310083893073
165365,128544,39.61837305,-105.07716266,W Grant Ranch Blvd,80310120103005
40676,224709,39.76889182,-104.94254544,N Jackson St,80310036021013
75457,18603,39.73920687,-104.94187462,N Jackson St,80310037031000
102275,106378,39.76711215,-105.02162149,W 36th Ave,80310004026005
256083,210788,39.78993671,-104.83612413,N Utopia Ct,80310083062004
203609,27070,39.79688493,-104.79686775,N Lewiston St,80310083881011
194947,19731,39.75635946,-105.00449876,Bassett St,80310017011003
236026,55221,39.74421847,-104.96066196,N Gaylord St,80310031021022
272775,214576,39.64425747,-104.88896445,S Wabash St,80310068103000
177217,189330,39.66301718,-104.93518785,S Clermont Dr,80310040033008
65313,225789,39.76587838,-105.03295269,W 35th Ave,80310003034006
248504,122621,39.69455781,-105.01903148,S Canosa Ct,80310014014008
269725,189720,39.67330374,-105.04035046,S Quitman St,80310047001008
264362,114717,39.74950793,-104.89964499999999,E 22nd Ave,80310044033005
84700,123346,39.72640639,-104.96629816,N Williams St,80310032033016
112962,169091,39.70663921,-104.96485619,S High St,80310034022004
302858,127462,39.78773515,-104.80614743,E 51st Dr,80310083881073
225964,38295,39.66770022,-104.86667204,E Yale Ave,80310068133000
76094,276791,39.76093716,-104.98440204,Walnut St,80310016002029
83122,177235,39.725922100000005,-104.95290563,N Fillmore St,80310033003024
240697,304203,39.73027708,-104.98213244,N Logan St,80310027025003
153699,111215,39.66273457,-104.94269919,S Jackson St,80310040021015
28717,182330,39.75329922,-104.93802086,N Ash St,80310041034005
271411,130698,39.69695148,-104.97778411,S Clarkson St,80310029023011
142555,143332,39.70661082,-104.98431251,S Grant St,80310029012003
284427,97703,39.66211819,-105.03588421,S Mabry Ct,80310157002008
96094,91317,39.71904594,-105.0006092,N Kalamath St,80310021003016
15003,293548,39.7197681,-105.01346479,N Vallejo St,80310010001020
241866,75102,39.67574972,-104.91998112,E Iliff Ave,80310069013005
9416,243158,39.78775035,-104.89235361,N Valentia St,80310041071001
234001,235621,39.737582399999994,-104.9958415,N Speer Blvd,80310020001023
282362,170960,39.72988608,-104.90969715,N Newport St,80310043042023
296806,105248,39.72182686,-105.04173895,N Raleigh St,80310009021011
298227,133050,39.70138757,-104.92531869999999,S Glencoe St,80310153002003
42604,109409,39.77323803,-105.00728507,N Quivas St,80310011014014
52788,262163,39.75396979,-104.98498143,Champa St,80310016003029
54267,140095,39.77721542,-104.98160856,N Pennsylvania St,80310015003077
314047,249624,39.64076105,-105.04045295,W Princeton Cir,80310055021045
60513,277081,39.76022883,-105.00878943,17th St,80310011023022
44574,152120,39.7698609,-104.96866747,N Franklin St,80310036011012
265258,129339,39.64980617,-104.90453176,S Poplar St,80310068092030
